"";"title";"author";"journal";"number";"cites";"year";"cid";"pubid"
"1";"Production of Pyomelanin, a Second Type of Melanin, via the Tyrosine Degradation Pathway in Aspergillus fumigatus";"J Schmaler-Ripcke, V Sugareva, P Gebhardt, R Winkler, O Kniemeyer, ...";"Applied and environmental microbiology";"75 (2), 493-503";212;2009;"15481550060900742049";"UeHWp8X0CEIC"
"2";"Comparative and functional genomics provide insights into the pathogenicity of dermatophytic fungi";"A Burmester, E Shelest, G Glöckner, C Heddergott, S Schindler, P Staib, ...";"Genome biology";"12 (1), 1-16";193;2011;"8740436894579019665";"YsMSGLbcyi4C"
"3";"A novel immune evasion strategy of Candida albicans: proteolytic cleavage of a salivary antimicrobial peptide";"TF Meiller, B Hube, L Schild, ME Shirtliff, MA Scheper, R Winkler, A Ton, ...";"PloS one";"4 (4), e5039";152;2009;"14194085331734782292";"d1gkVwhDpl0C"
"4";"Analysis of the Aspergillus fumigatus Proteome Reveals Metabolic Changes and the Activation of the Pseurotin A Biosynthesis Gene Cluster in Response to Hypoxia";"M Vödisch, K Scherlach, R Winkler, C Hertweck, HP Braun, M Roth, ...";"Journal of proteome research";"10 (5), 2508-2524";134;2011;"11096021475236241192";"eQOLeE2rZwMC"
"5";"Genomic history of the origin and domestication of common bean unveils its closest sister species";"M Rendón-Anaya, JM Montero-Vargas, S Saburido-Álvarez, A Vlasova, ...";"Genome biology";"18 (60), 1-17";108;2017;"5204869975520100604";"bFI3QPDXJZMC"
"6";"Biosynthesis of nitro compounds";"R Winkler, C Hertweck";"ChemBioChem";"8 (9), 973-977";107;2007;"14147867007719904434";"qjMakFHDy7sC"
"7";"Vinylogous chain branching catalysed by a dedicated polyketide synthase module";"T Bretschneider, JB Heim, D Heine, R Winkler, B Busch, B Kusebauch, ...";"Nature";"502 (7469), 124-128";100;2013;"5122222335728661369";"mB3voiENLucC"
"8";"Preventive and therapeutic potential of peptides from cereals against cancer";"M Ortiz-Martinez, R Winkler, S García-Lara";"Journal of proteomics";"111, 165-183";89;2014;"15913427072684015970";"4JMBOYKVnBMC"
"9";"Two‐dimensional proteome reference maps for the human pathogenic filamentous fungus Aspergillus fumigatus";"M Vödisch, D Albrecht, F Leßing, AD Schmidt, R Winkler, R Guthke, ...";"Proteomics";"9 (5), 1407-1415";88;2009;"1049154083668053450";"u-x6o8ySG0sC"
"10";"Global Distribution and Evolution of a Toxinogenic Burkholderia-Rhizopus Symbiosis";"G Lackner, N Möbius, K Scherlach, LP Partida-Martinez, R Winkler, ...";"Applied and environmental microbiology";"75 (9), 2982-2986";72;2009;"15850695981496118837";"W7OEmFMy1HYC"
"11";"Evolution of host resistance in a toxin-producing bacterial–fungal alliance";"I Schmitt, LP Partida-Martinez, R Winkler, K Voigt, E Einax, F Dölz, S Telle, ...";"The ISME journal";"2 (6), 632-641";71;2008;"11109751925489881066";"IjCSPb-OGe4C"
"12";"Sequential enzymatic oxidation of aminoarenes to nitroarenes via hydroxylamines";"R Winkler, C Hertweck";"Angewandte Chemie International Edition";"44 (26), 4083-4087";70;2005;"9804145057782340821";"u5HHmVD_uO8C"
"13";"ESIprot: a universal tool for charge state determination and molecular weight calculation of proteins from electrospray ionization mass spectrometry data";"R Winkler";"Rapid Communications in Mass Spectrometry";"24 (3), 285-294";65;2010;"4600606542354423174";"WF5omc3nYNoC"
"14";"Structure and Action of the N-oxygenase AurF from Streptomyces thioluteus";"G Zocher, R Winkler, C Hertweck, GE Schulz";"Journal of molecular biology";"373 (1), 65-74";60;2007;"6317780580605262347";"Y0pCki6q_DkC"
"15";"Regio‐and chemoselective enzymatic N‐oxygenation in vivo, in vitro, and in flow";"R Winkler, MEA Richter, U Knüpfer, D Merten, C Hertweck";"Angewandte Chemie";"118 (47), 8184-8186";52;2006;"3567403886600773109";"2osOgNQ5qMEC"
"16";"The expression of selected non-ribosomal peptide synthetases inAspergillus fumigatus is controlled by the availability of free iron";"K Reiber, EP Reeves, CM Neville, R Winkler, P Gebhardt, K Kavanagh, ...";"FEMS microbiology letters";"248 (1), 83-91";52;2005;"15451549022565232714";"9yKSN-GCB0IC"
"17";"GridMass: a fast two‐dimensional feature detection method for LC/MS";"V Treviño, IL Yañez‐Garza, CE Rodriguez‐López, R Urrea‐López, ...";"Journal of Mass Spectrometry";"50 (1), 165-174";48;2015;"17866711243541405899";"isC4tDSrTZIC"
"18";"Template for 3D printing a low-temperature plasma probe";"S Martínez-Jarquín, A Moreno-Pedraza, H Guillén-Alonso, R Winkler";"Analytical chemistry";"88 (14), 6976-6980";46;2016;"2372723255208226364";"fPk4N6BV_jEC"
"19";"‘Plug and Play’assembly of a low-temperature plasma ionization mass spectrometry imaging (LTP-MSI) system";"M Maldonado-Torres, JF López-Hernández, P Jiménez-Sandoval, ...";"Journal of proteomics";"102, 60-65";46;2014;"16045872019496125701";"RHpTSmoSYBkC"
"20";"Proteomic analysis of human papillomavirus‐related oral squamous cell carcinoma: Identification of thioredoxin and epidermal‐fatty acid binding protein as upregulated protein …";"C Melle, G Ernst, R Winkler, B Schimmel, JP Klussmann, C Wittekindt, ...";"Proteomics";"9 (8), 2193-2201";38;2009;"9626386380050650231";"Tyk-4Ss8FVUC"
"21";"A Binuclear Manganese Cluster That Catalyzes Radical‐Mediated N‐Oxygenation";"R Winkler, G Zocher, I Richter, T Friedrich, GE Schulz, C Hertweck";"Angewandte Chemie International Edition";"46 (45), 8605-8608";37;2007;"15859733837742995887";"zYLM7Y9cAGgC"
"22";"Low-temperature plasma (LTP) jets for mass spectrometry (MS): Ion processes, instrumental set-ups, and application examples";"S Martínez-Jarquín, R Winkler";"TrAC Trends in Analytical Chemistry";"89, 133-145";36;2017;"18183672958296054725";"pyW8ca7W8N0C"
"23";"Design of a low‐temperature plasma (LTP) probe with adjustable output temperature and variable beam diameter for the direct detection of organic molecules";"S Martínez‐Jarquín, R Winkler";"Rapid Communications in Mass Spectrometry";"27 (5), 629-634";34;2013;"2105883162899159679";"L8Ckcad2t8MC"
"24";"Postharvest insect resistance in maize";"LM López-Castillo, SE Silva-Fernández, R Winkler, DJ Bergvinson, ...";"Journal of Stored Products Research";"77, 66-76";33;2018;"7147245888198003507";"vRqMK49ujn8C"
"25";"A comparison of human and mouse protein corona profiles of functionalized SiO2 nanocarriers.";"A Solorio-Rodríguez, V Escamilla-Rivera, M Uribe-Ramírez, A Chagolla, ...";"Nanoscale";"9, 13651-13660";32;2017;"2649010370146649062";"1sJd4Hv_s6UC"
"26";"Metabolic profiling of plant extracts using direct-injection electrospray ionization mass spectrometry allows for high-throughput phenotypic characterization according to …";"M García-Flores, S Juárez-Colunga, A García-Casarrubias, S Trachsel, ...";"Journal of agricultural and food chemistry";"63 (3), 1042-1052";32;2015;"4227969542700562187";"bEWYMUwI8FkC"
"27";"Metabolic phenotyping for the classification of coffee trees and the exploration of selection markers";"JM Montero-Vargas, LH González-González, E Gálvez-Ponce, ...";"Molecular BioSystems";"9 (4), 693-699";31;2013;"18305634718233565388";"7PzlFSSx8tAC"
"28";"Proteome analysis of the farnesol-induced stress response in Aspergillus nidulans - The role of a putative dehydrin";"D Wartenberg, M Vödisch, O Kniemeyer, D Albrecht-Eckardt, K Scherlach, ...";"Journal of proteomics";"75 (13), 4038-4049";31;2012;"14288667278914742976";"qxL8FJ1GzNcC"
"29";"Software solutions for evaluation and visualization of laser ablation inductively coupled plasma mass spectrometry imaging (LA-ICP-MSI) data: a short overview";"R Weiskirchen, S Weiskirchen, P Kim, R Winkler";"Journal of cheminformatics";"11 (16), 1-21";29;2019;"1826663158247497033";"tkaPQYYpVKoC"
"30";"Elucidating the Distribution of Plant Metabolites from Native Tissues with Laser Desorption Low-Temperature Plasma Mass Spectrometry Imaging";"A Moreno-Pedraza, I Rosas-Román, NS Garcia-Rojas, H Guillén-Alonso, ...";"Analytical chemistry";"91 (4), 2734-2743";25;2019;"2494679668046052439";"olpn-zPbct0C"
"31";"Evaluating the physiological state of maize (Zea mays L.) plants by direct-injection electrospray mass spectrometry (DIESI-MS)";"M García-Flores, S Juárez-Colunga, JM Montero-Vargas, ...";"Molecular BioSystems";"8 (6), 1658-1660";25;2012;"10236358753596772455";"M3ejUd6NZC8C"
"32";"MSI. R scripts reveal volatile and semi-volatile features in low-temperature plasma mass spectrometry imaging (LTP-MSI) of chilli (Capsicum annuum)";"R Gamboa-Becerra, E Ramírez-Chávez, J Molina-Torres, R Winkler";"Analytical and bioanalytical chemistry";"407 (19), 5673-5684";24;2015;"10079066579113815246";"g5m5HwL7SMYC"
"33";"Colorimetric protein quantification in aqueous two-phase systems";"M González-González, K Mayolo-Deloisa, M Rito-Palomares, R Winkler";"Process biochemistry";"46 (1), 413-417";24;2011;"8203606152475574532";"_FxGoFyzp5QC"
"34";"Structural Basis for Redox Regulation of Cytoplasmic and Chloroplastic Triosephosphate Isomerases from Arabidopsis thaliana";"LM López-Castillo, P Jiménez-Sandoval, N Baruch-Torres, ...";"Frontiers in plant science";"7 (1817), 1-17";23;2016;"7409567959154284340";"yD5IFk8b50cC"
"35";"An evolving computational platform for biological mass spectrometry: workflows, statistics and data mining with MASSyPup64";"R Winkler";"PeerJ";"3 (e1401), 1-34";23;2015;"14035498346474374539";"HoB7MX3m0LUC"
"36";"Mass Spectometry-Based Protein Patterns in the Diagnosis of Sepsis/Systemic Inflammatory Response Syndrome";"M Kiehntopf, D Schmerler, FM Brunkhorst, R Winkler, K Ludewig, ...";"Shock";"36 (6), 560";23;2011;"5254781272814169104";"KlAtU1dfN6UC"
"37";"Automated chemical fingerprinting of Mexican spirits derived from Agave (tequila and mezcal) using direct-injection electrospray ionisation (DIESI) and low-temperature plasma …";"S Martínez-Jarquín, A Moreno-Pedraza, D Cázarez-García, R Winkler";"Analytical Methods";"9, 5023 - 5028";22;2017;"16135467789137532924";"EUQCXRtRnyEC"
"38";"Rapid Classification of Coffee Products by Data Mining Models from Direct Electrospray and Plasma-Based Mass Spectrometry Analyses";"R Gamboa-Becerra, JM Montero-Vargas, S Martínez-Jarquín, ...";"Food Analytical Methods";"10, 1359–1368";21;2017;"9042888321370584606";"dfsIfKJdRG4C"
"39";"Photoprotective Potential of Baccharis antioquensis (Asteraceae) as Natural Sunscreen";"JC Mejía‐Giraldo, R Winkler, C Gallardo, AM Sánchez‐Zapata, ...";"Photochemistry and photobiology";"92 (5), 742-752";21;2016;"2170255681528049634";"4OULZ7Gr8RgC"
"40";"Proteomic analysis of Entamoeba histolytica in vivo assembled pre-mRNA splicing complexes";"J Valdés, T Nozaki, E Sato, Y Chiba, K Nakada-Tsukui, ...";"Journal of proteomics";"111, 30-45";19;2014;"2940787548841821563";"iH-uZ7U-co4C"
"41";"MASSyPup—an ‘Out of the Box’solution for the analysis of mass spectrometry data";"R Winkler";"Journal of Mass Spectrometry";"49 (1), 37-42";19;2014;"215001443951444922";"HDshCWvjkbEC"
"42";"Formatting Open Science: agilely creating multiple document formats for academic manuscripts with Pandoc Scholar";"A Krewinkel, R Winkler";"PeerJ Computer Science";"3 (e112), 1-23";17;2017;"9466937705444946300";"b0M2c_1WBrUC"
"43";"Sequenzielle enzymatische Oxidation von Aminoarenen zu Nitroarenen über Hydroxylamine";"R Winkler, C Hertweck";"Angewandte Chemie";"117 (26), 4152-4155";17;2005;"12341220211890515064";"ufrVoPGSRksC"
"44";"Plasma protein adsorption on Fe3O4-PEG nanoparticles activates the complement system and induces an inflammatory response";"V Escamilla-Rivera, A Solorio-Rodriguez, M Uribe-Ramirez, O Lozano, ...";"International journal of nanomedicine";"14, 2055";16;2019;"16254074901009492138";"9vf0nzSNQJEC"
"45";"Modulation of steroidal glycoalkaloid biosynthesis in tomato (Solanum lycopersicum) by jasmonic acid";"JM Montero-Vargas, K Casarrubias-Castillo, N Martínez-Gallardo, ...";"Plant Science";"277, 155-165";16;2018;"17175728128400136855";"1qzjygNMrQYC"
"46";"SpiderMass: semantic database creation and tripartite metabolite identification strategy";"R Winkler";"Journal of Mass Spectrometry";"50 (3), 538-541";16;2015;"1528077013674117147";"NMxIlDl6LWMC"
"47";"The Phaseolus vulgaris PvTRX1h gene regulates plant hormone biosynthesis in embryogenic callus from common bean";"A Barraza, JL Cabrera-Ponce, R Gamboa-Becerra, F Luna-Martínez, ...";"Frontiers in plant science";"6 (577), 1-16";15;2015;"8208097446729532456";"M05iB0D1s5AC"
"48";"Phenotypic comparison of samdc and spe mutants reveals complex relationships of polyamine metabolism in Ustilago maydis";"L Valdes-Santiago, JA Cervantes-Chavez, R Winkler, CG León-Ramírez, ...";"Microbiology";"";15;2012;"9938907173864368519";"MXK_kJrjxJIC"
"49";"An FMN hydrolase of the haloacid dehalogenase superfamily is active in plant chloroplasts";"R Rawat, FJ Sandoval, Z Wei, R Winkler, S Roje";"Journal of Biological Chemistry";"286 (49), 42091-42098";15;2011;"8281330365497042295";"UebtZRa9Y70C"
"50";"The organophosphate pesticide methamidophos opens the blood-testis barrier and covalently binds to ZO-2 in mice";"JM Ortega-Olvera, R Winkler, B Quitanilla-Vega, M Shibayama, ...";"Toxicology and Applied Pharmacology";"360, 257-272";14;2018;"3014550143231409446";"J-pR_7NvFogC"
"51";"Activity-directed identification of maize kernel peroxidases associated with postharvest insect resistance";"S García-Lara, R Winkler";"Molecular BioSystems";"6 (10), 1810-1812";14;2010;"5172436819401074621";"3fE2CSJIrl8C"
"52";"Metabolic fingerprinting of Arabidopsis thaliana accessions";"M Sotelo-Silveira, AL Chauvin, N Marsch-Martínez, R Winkler, S De Folter";"Frontiers in Plant Science";"6 (365), 1-13";13;2015;"786106352610438429";"lSLTfruPkqcC"
"53";"Reduction of aflatoxin B1 during tortilla production and identification of degradation by-products by direct-injection electrospray mass spectrometry (DIESI-MS)";"A Moreno-Pedraza, L Valdés-Santiago, LJ Hernández-Valadez, ...";"Salud Pública de México";"57 (1), 50-57";12;2015;"7699373214227688425,5762417361326661885";"k_IJM867U9cC"
"54";"Fungal α-arabinofuranosidases of glycosyl hydrolase families 51 and 54 show a dual arabinofuranosyl-and galactofuranosyl-hydrolyzing activity";"B Tefsen, EL Lagendijk, J Park, M Akeroyd, D Schachtschabel, R Winkler, ...";"Biological chemistry";"393 (8), 767-775";12;2012;"10145123107242264908";"mVmsd5A6BfQC"
"55";"Down-regulation of PvTRX1h increases nodule number and affects auxin, starch, and metabolic fingerprints in the common bean (Phaseolus vulgaris L.)";"A Barraza, EL Coss-Navarrete, JC Vizuet-de-Rueda, K Martínez-Aguilar, ...";"Plant Science";"274, 45-58";11;2018;"18310383760177716496";"D_sINldO8mEC"
"56";"Open LabBot and RmsiGUI: Community development kit for sampling automation and ambient imaging";"I Rosas-Román, C Ovando-Vázquez, A Moreno-Pedraza, ...";"Microchemical Journal";"152, 104343";10;2020;"15018054663009630180";"1yQoGdGgb4wC"
"57";"Metabolomic markers for the early selection of coffea canephora plants with desirable cup quality traits";"R Gamboa-Becerra, MC Hernández-Hernández, Ó González-Ríos, ...";"Metabolites";"9 (10), 214";10;2019;"353014666998093194";"N5tVd3kTz84C"
"58";"A Ribonucleotide Reductase‐Like Electron Transfer System in the Nitroaryl‐Forming N‐Oxygenase AurF";"A Fries, T Bretschneider, R Winkler, C Hertweck";"ChemBioChem";"12 (12), 1832";10;2011;"11304986215183294314";"hqOjcs7Dif8C"
"59";"Mass spectrometry imaging of thin-layer chromatography plates using laser desorption/low-temperature plasma ionisation";"NS García-Rojas, A Moreno-Pedraza, I Rosas-Román, ...";"Analyst";"145 (11), 3885-3891";9;2020;"15801811077024012292";"W5xh706n7nkC"
"60";"Trichoderma atroviride from predator to prey: role of the MAPK Tmk3 in fungal chemical defense against fungivory by Drosophila melanogaster larvae";"K Atriztán-Hernández, A Moreno-Pedraza, R Winkler, T Markow, ...";"Appl. Environ. Microbiol., AEM.";"01825-18";9;2019;"966887424060798988,1746264866597736449";"5ugPr518TE4C"
"61";"In vivo Monitoring of Nicotine Biosynthesis in Tobacco Leaves by Low-temperature Plasma Mass Spectrometry";"S Martínez-Jarquín, H Herrera-Ubaldo, S de Folter, R Winkler";"Talanta";"185, 324-327";9;2018;"6067763187044174473";"geHnlv5EZngC"
